Date,Open,High,Low,Close,Adj Close,Volume
10/4/2015,31.487499,31.8025,31.315001,31.775,29.016325,160752000
13/4/2015,32.092499,32.142502,31.6525,31.7125,28.959249,145460400
14/4/2015,31.75,31.8225,31.477501,31.575001,28.833691,102098400
15/4/2015,31.602501,31.782499,31.502501,31.695,28.94327,115881600
16/4/2015,31.57,31.775,31.5275,31.5425,28.804008,113476000
17/4/2015,31.387501,31.535,31.115,31.1875,28.47983,207828000
20/4/2015,31.3925,32.029999,31.2925,31.9,29.130468,188217200
21/4/2015,32.025002,32.049999,31.6675,31.727501,28.972948,129740400
22/4/2015,31.747499,32.217499,31.58,32.154999,29.363327,150618000
23/4/2015,32.075001,32.605,32.035,32.4175,29.603045,183083600
24/4/2015,32.622501,32.657501,32.307499,32.57,29.742304,178103600
27/4/2015,33.077499,33.282501,32.787498,33.162498,30.283358,387816800
28/4/2015,33.615002,33.634998,32.392502,32.639999,29.806231,475696000
29/4/2015,32.540001,32.897499,32.075001,32.16,29.367901,253544400
30/4/2015,32.16,32.16,31.145,31.2875,28.571152,332781600
1/5/2015,31.525,32.532501,31.325001,32.237499,29.438671,234050400
4/5/2015,32.375,32.642502,32.064999,32.174999,29.381592,203953200
5/5/2015,32.037498,32.112499,31.445,31.450001,28.719543,197085600
6/5/2015,31.639999,31.6875,30.84,31.252501,28.539185,288564000
7/5/2015,31.192499,31.52,31.004999,31.315001,28.715712,175763600
8/5/2015,31.67,31.905001,31.5275,31.905001,29.256735,222201600
11/5/2015,31.8475,31.889999,31.407499,31.58,28.95871,168143200
12/5/2015,31.4,31.719999,31.205,31.467501,28.855551,192640000
13/5/2015,31.5375,31.797501,31.467501,31.502501,28.887644,138776800
14/5/2015,31.852501,32.237499,31.790001,32.237499,29.561636,180814000
15/5/2015,32.267502,32.372501,32.052502,32.192501,29.520374,152832000
18/5/2015,32.095001,32.68,32.09,32.547501,29.845909,203531600
19/5/2015,32.672501,32.720001,32.41,32.517502,29.818396,178532800
20/5/2015,32.5,32.744999,32.334999,32.514999,29.816099,145819600
21/5/2015,32.517502,32.907501,32.4575,32.8475,30.12101,158921600
22/5/2015,32.900002,33.2425,32.849998,33.134998,30.384638,182384000
26/5/2015,33.150002,33.227501,32.279999,32.404999,29.715235,282790400
27/5/2015,32.584999,33.064999,32.512501,33.009998,30.27001,183332800
28/5/2015,32.965,32.987499,32.775002,32.945,30.210407,122933200
29/5/2015,32.807499,32.862499,32.474998,32.57,29.866539,203538000
1/6/2015,32.57,32.8475,32.512501,32.634998,29.926142,128451200
2/6/2015,32.465,32.665001,32.330002,32.490002,29.793186,134670400
3/6/2015,32.665001,32.735001,32.474998,32.529999,29.829855,123934000
4/6/2015,32.395,32.645,32.227501,32.34,29.655628,153800400
5/6/2015,32.375,32.422501,32.09,32.162498,29.492859,142507200
8/6/2015,32.224998,32.302502,31.7075,31.950001,29.298,210699200
9/6/2015,31.674999,32.02,31.405001,31.855,29.210886,224301600
10/6/2015,31.98,32.334999,31.9625,32.220001,29.545589,156349200
11/6/2015,32.294998,32.544998,32.119999,32.147499,29.479107,141563600
12/6/2015,32.047501,32.0825,31.7775,31.7925,29.153574,147544800
15/6/2015,31.525,31.809999,31.4275,31.73,29.096258,175955600
16/6/2015,31.7575,31.9625,31.592501,31.9,29.252151,125976400
17/6/2015,31.93,31.969999,31.684999,31.825001,29.18338,131672400
18/6/2015,31.807501,32.077499,31.805,31.969999,29.316339,141628800
19/6/2015,31.9275,31.955,31.6,31.65,29.022902,218867600
22/6/2015,31.872499,32.014999,31.77,31.9025,29.25444,136157200
23/6/2015,31.870001,31.9025,31.719999,31.7575,29.121477,121075600
24/6/2015,31.8025,32.450001,31.780001,32.0275,29.36907,221123600
25/6/2015,32.215,32.299999,31.875,31.875,29.229227,127752400
26/6/2015,31.9175,31.997499,31.627501,31.6875,29.057289,176267200
29/6/2015,31.365,31.6175,31.120001,31.1325,28.548355,196645600
30/6/2015,31.3925,31.530001,31.215,31.3575,28.754684,177482800
1/7/2015,31.725,31.735001,31.497499,31.65,29.022902,120955200
2/7/2015,31.6075,31.672501,31.442499,31.610001,28.986221,108844000
6/7/2015,31.235001,31.557501,31.2125,31.5,28.885355,112241600
7/7/2015,31.4725,31.5375,30.942499,31.422501,28.814287,187787200
8/7/2015,31.120001,31.16,30.635,30.6425,28.099026,243046400
9/7/2015,30.9625,31.014999,29.805,30.0175,27.525908,314380000
10/7/2015,30.485001,30.9625,30.3025,30.82,28.261797,245418000
